Author,Date,Region,Sentence,Mistral 7b-instruction,p_mistral_vote,golden_label
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, tra i dieci compagni, si riservò di parlarlo all'ultimo.",3.0,"Marco Cornelio, che era uno dei dieci compagni, deliberatamente si riservò di parlare per ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,le cose che io conoscevo essere fatte in Italia.,4.0,Cose che io sapevo che erano state fatte in Italia
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, figlio di Ortensio, condusse una vita più bassa e più viziosa.",4.0,"Corbio, nipote di Ortensio, condusse la sua vita in modo dissoluto e vizioso."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un amante chiamandola merzé alla sua donna dice parole e ragioni molte, e lei si difende con sue parole.",3.0,"Allo stesso modo un amante, chiedendo pietà alla sua donna, pronuncia molte parole e argomentazioni, ed ella si difende a suo modo."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io ricordo che, essendo infuriato, scoprì la mia donna. Oh, quanti giorni questa rabbia mi tolse!",1.0,"Io mi ricordo (capitolo 347) che, essendo arrabbiato, strappai i capelli alla mia donna. Oh, quanti giorni questa violenza mi costò!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,l'uomo del cui amore tu ti ricordavi di aver sofferto per la tua donna;,2.0,"Colui del quale tu eri solito lamentarti, era l'amante della tua donna."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi di coloro della congiura, poiché la donna non nominava ancora i loro nomi.",2.0,"Ma non sapevano ancora i nomi di coloro appartenenti alla congiura, perché la donna non gli comunicava ancora i nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Creti? Sicuramente lo fece dire a te: 'O mia fedele donna, rimedi per me presso nostro ospite troiano'.""",2.0,"Credi? Certo, quando egli si mosse, egli ti disse: ""O fedele mia donna, fa' che al posto mio si sieda il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ",A Milano fu repressa la malvagità di una donna in modo simile a questa signora della repubblica:,1.0,"A Milano fu repressa la malvagità di una donna in una simile circostanza ingannevole, nello stesso periodo di questo governante della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Essi lamentavansi dell'ingiustizia di Appio, e ripianevano la misera bellezza della giovane e la necessità del padre.",2.0,"E si lamentavano della malvagità di Appio, e piangevano di nuovo la sfortunata bellezza della fanciulla e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certamente io ho sempre avuto coraggio di ragionare di pace e sempre mi dispiace che non solo la pace era offesa,",2.0,"In quella battaglia, certamente io ebbi sempre il coraggio di parlare di pace e sempre mi addolorai del fatto che non solo la pace era schifata,"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","la seconda può talvolta far paura per il grande vantaggio, e la prima può rendere chiaro il follia di altri.",2.0,"La seconda è solita talvolta, per la grande saggezza, incutere timore, e la prima, per l'audacia, rendere gli altri folli."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andai nel campo dei Cartaginesi e la legione intera lo seguì.,2.0,Andò nel campo dei Cartaginesi e portò con sé tutta la legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Quella lo volle ignota al profeta Natan, per cui ebbe il coraggio di riprovare con grande autorità quel re peccatore.",1.0,Non volle trattarlo come nemico. Questa è colui che diede coraggio al profeta Natan per rimproverare con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Con le armi e insieme passano tra i nemici, per cui, se qualcuno non avesse il coraggio di questo e avessero questo animo.",2.0,"Le armi passarono insieme a loro tra i nemici, anche se qualcuno non avesse il coraggio, complessivamente essi avevano lo spirito giusto per farlo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Per ragioni ragionevoli, Iobe è stato interpretato come dolente.",2.0,"Perciò, ragionevolmente, Giobbe è interpretato come sofferente."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","""Quello che perdonava ai cittadini sopra a tutti gli altri, e a cui potete più sicuramente credere, era il vostro comandante.""",2.0,"Colui che più di tutti gli altri perdonava i cittadini, è colui a cui più sicuramente potete credere, poiché egli fu il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Inutile chiedersi chi scrivesse questo Libro, in quanto fedelmente si deve credere che l'Autore fosse lo Spirito Santo.",3.0,"Invano ci si domanda chi abbia scritto questo Libro, dal momento che si deve credere fedelmente che l'Autore fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse comunissimo, certamente apparirebbe molto più incredibile: sicuramente si può più facilmente credere quello, poiché l'umano spirito al divino, e il mutabile all'incommutabile.",2.0,"Se non fosse molto comune, sembrerebbe molto più incredibile che si possa credere facilmente a ciò, dato che lo spirito umano si rapporta al divino, e il mutabile all'immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Quelli ricevevano il loro stipendio dal camerlengo per il loro turno e andavano subito alla presenza di monsignor il papa per contrarre i cavaliere che venivano da Cecilia in Toscana.,2.0,Che prendessero la paga dal camerlengo per il loro mantenimento e immediatamente andassero alla presenza del signor papa per impedire il passaggio dei cavalieri che venivano dalla Sicilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","""O signor Acheloo, io ti prego di dirti come vi siete perditi.""",3.0,"Teseo osservò Achelao meravigliandosi molto e disse: ""O signor Achelao, io vi prego che voi mi diciate in che modo voi perdeste""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Io spero che Gesù mi permetta di inviare presto a voi Timoteo, affinché io sia tranquillo inside<traduzione>.",2.0,"Io spero nel signore Gesù di mandarvi presto Timoteo, affinchè io sia di buon animo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"senza errori, il selvaggio maiale avanza, l'uomo di ascoltare e il lupo cervo del vedere.",3.0,Senza dubbio il cinghiale è superiore all' uomo nell'udito e la lince nella vista.
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"In quel luogo si gettano lanci, e ciò è chiamato ""capo di maiale"" dai cavalieri.",3.0,"In un luogo si combatte con la lancia, i cavalieri lo chiamano 'testa di porco'."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"""Tenda le reti agli scorcianni e sa bene in quale valle abita il furioso maiale selvaggio.""",5.0,Tende le trappole ai cervi e sa bene in quale valle dimora il cinghiale furioso.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Avrete paura di spaventare i cervi timidi con diverse paure, o il maiale inseguirà il passato collo nel terreno impalato.",2.0,"Ora spaventerai i desiderati cervi con varie e diverse paure, o il cinghiale cada a terra trafitto dallo spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta le cose incorporee, come Dio e le cose divine, che non si convertiscono tra i corpi.",1.0,"Tratta la natura delle cose incorporee, le quali non interagiscono tra i corpi, così come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per cui si dispensano e giudicano tutte le cose.",2.0,"Dio, per mezzo della quale si amministrano e si giudicano tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","""Gli poeti, parlando di loro, dichiarano le loro virtù e fabbricano allusivamente i loro difetti, quando una passava in ordine a loro deputato.""",2.0,"Perciò i poeti, parlando tra loro, parlano delle loro virtù ma parlano in modo figurato dei loro difetti, quando qualcosa superava il loro limite massimo."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Quella cosa, la quale è diretta, onesta e virtuosa, è la unica cosa che penso essere buona.",4.0,"E quella cosa che è giusta e onesta, e fatta con virtù, solo quella penso sia il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando serpenti gli schioccavano le loro veleno delle giornate, meravigliosi erano i Romani di vedere come i Psille si combattevano al veleno, poiché essi sacrificavano tutto in pratica della loro saliva.",1.0,"Quando i serpenti avvelenavano di giorno qualche Romano, era una cosa meravigliosa vedere come i Psilli contrastavano il veleno, perché essi lo neutralizzavano per mezzo della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Oh, quanto è bella cosa vedere apertamente con gli occhi quando tu la fai direttamente in faccia o dietro o in alto.",4.0,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glielo fai dietro o nell'ano o in altro posto."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Purtroppo, questo era tuo pesare, ma desideravi comunque cercare di vedere con gli occhi corporei cosa invisibile.",2.0,"Ma comunque fu colpa tua, poiché volesti cercare di vedere con gli occhi fisici una cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","""La tua verità è: tu sei mio schiavo, o per questo è un giorno feriale, o per questo io non devo rispondere.""",2.0,"È vero, ma non ti rispondo in questo momento, o poiché tu sei un mio servo, o perché è tempo di riposo, o perché io non posso risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, concordo che dovesse avere grande libertà per permettergli di andare via.",3.0,fu necessario dargli grandi ricchezze affinché se ne andasse.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","un notevole esempio per ogni uno che si curasse di fare e di pensare, il servo, il quale a noi era stato accusato, fu perdonato, e fu donata a lui una grande quantità di denaro.",1.0,"Un esempio significativo per chiunque si guardasse dal fare e dal pensare al tradimento: il servo, il quale li aveva accusati, fu graziato, e gli fu donata una grande quantità di moneta."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Che mi sarebbe stato disgrazioso se fossi stato io a commettere quello che il servo fece e la pena di Platone avesse meritato lo stesso.,2.0,Che sarebbe per lui una cosa vergognosa se avesse ammesso di dare la colpa al servo e se Platone avesse meritato il castigo ugualmente.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostro massimamente le sue forze, diventando re in questa città natia, dove era schiavo; il quale tenne l'impero per molto tempo.",2.0,"Mostrò la sua ampia forza morale, dandogli il potere di comandare su questa città nella quale nacque servo. Alla quale accadde di mantenere il potere per lunghissimo tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima modifica la sua forza in virtù della proprietà di quel corpo con cui si unisce.,5.0,L'anima muta la sua forza a causa della proprietà di quel corpo a cui essa si congiunge.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non nell'umano carne, ma nell' spirito, cioè Dio, e l'anima. In altre parole, San Paolo dice: Chi si avvicina a Dio è uno spirito.",2.0,"Non sono più due entità separate, una nella carne e una nello spirito, ma sono unite in un unico spirito, che è Dio e l'anima. Per questo, in un altro passo, San Paolo afferma: 'Chi si unisce a Dio diventa un solo spirito'"
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Per quanto Lucano lo disse, noi vi raccontiamo. Lì, quando l'anima di Pompeo sentì la chiarezza di Lasus, ella lo riconobbe prima in grande.",5.0,"Per quanto Lucano lo abbia narrato, noi ve lo raccontiamo. Lì, quando l'anima di Pompeo percepì la luce dall'alto, essa si riconobbe subito in modo chiaro"
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","""Siccome dolore è sentire, quando l'uso delle armi e il sforzo ti rifiutano, con gran vergogna, come pecore siamo.""",3.0,"Perciò è doloroso sentire che, quando essi si rifiutano di usare le armi e di affrontare la fatica, subiscono un grandissimo disonore, essendo trattati come pecore"
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,"Egli, Cristo, non ebbe fastidio di udire quei paroli.",2.0,E Cristo non ebbe a dispiacere sentire tali parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La folla di coloro che hai potuto vedere e guardare lo studio e di quelli che stavano poco lontano e udire le voci e le mani e le armi di pochi che posso ancora ricordare.""",2.0,"Tu hai potuto vedere e osservare l'impegno di moltissimi di loro, e poco fa hai udito le loro voci; e a malapena riesco a trattenere le loro mani e le loro lance"
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","ascoltare belle storie e olfattare belli fiori, come e quando e quanto conveniva.",2.0,"Ascoltare belle storie e sentire il profumo di bei fiori, nel modo, nel momento e nella quantità opportuni"
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro all'albergo suo, quasi come se andasse a riflettere.",2.0,"Il re entrò in un giardino dietro al suo alloggio, quasi come se stesse riflettendo sulla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","""Ma io desideroso volo là dove io non posso andare con il corpo, con la mente vi vado.""",2.0,"Ma io, desideroso di andare là dove non posso con il corpo, vi volo con la mente"
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Tutto quel tumulto di uccelli si alzò in volo dietro all'aquila.,4.0,Ed ecco che improvvisamente tutta questa moltitudine di uccelli si levò in volo dietro all'aquila
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccelli e di tutte le cose giudica veramente.,2.0,Vede anche le ragioni del volo degli uccelli e sa dare un giudizio veritiero su ogni cosa.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Per il suo orgoglio, questo uccello volava in alto a quel punto.",2.0,Ora ecco quanto in alto volava questo uccello a causa della sua superbia.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","""Gorgona, io desidero possedere questa qualità come un uccello nel cielo.""",3.0,"Gorgone, e ho questa peculiarità che io volo nell'aria proprio come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando si giurano nella matricola per Dio, per Cristo, e per lo Spirito Santo.",2.0,"Quando si iscrivono nell'albo, giurano su Dio, su Cristo e sullo Spirito Santo"
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per necessità riduco io, secondo il tuo comandamento, san padre Agostino, le battaglie già combattute nel mondo.",2.0,"Per necessità io affermo nuovamente che, secondo il tuo comando, padre santo Agostino, le battaglie che ci sono state nel mondo [..]"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","""Avrebbero avuto memoria molto superiore per il re, quindi il suo nome reale sempre fu sacro e glorioso nella nostra città, e se fossero stati compagni, il loro nome santo sarebbe stato lo stesso.""",2.0,"Saranno molto più memorabili facendole al re, poiché nella nostra città il nome regale è sempre stato santo e glorioso, e se furono compagni il loro nome fu santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio apparire superbo per proposito santo, e voto la verginità guardando le sue lodi.",2.0,"Non voglio che tu ti insuperbisca per il tuo santo proposito e per il voto di verginità, vedendone le lodi"
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino scrisse un libro chiamato ""La Città di Dio"" di Agostino.",2.0,Sant'Agostino scrisse un libro che aveva il titolo 'Agostino: La Città di Dio'.
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non l'ho mai sentito avere un maestro; ma il dono del Santo Spirito non si può limitare alla legge.,3.0,Gregorio. Non ho mai sentito dire che egli avesse un maestro; ma il dono dello Spirito Santo non può essere vincolato da regole.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,I mercanti fiorentini navigavano in nave per andare oltre mare.,2.0,Ad esempio: Mercanti fiorentini viaggiavano in nave per andare oltreoceano.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i segni visti non cessare di diminuire, perché nelle battaglie sono più utili i forti che i grandi.",1.0,"Quando avrai visto nel cavaliere i segni detti, non cercare la grandezza, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","""e, in modo ancora più grave, o essere catturati, o invece fuggire, e lasciare il proprio Comune sconfitto.""",3.0,"E, cosa che è anche più grave, cioè essere catturato, oppure fuggire e lasciare che il proprio Comune sia sconfitto."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Se noi non fossimo in fretta a fuggire, noi saremmo tutti morti.",5.0,"Sappiate veramente che, se non ci fossimo affrettati a fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco cretese, che poteva fuggire in aiuto dei nemici, tuttavia abbandonare i nobilissimi cavalleri achei che stavano vicini a lui facesse vergogna.",2.0,"Tarco, il cretese che era venuto in aiuto dei nemici, avrebbe potuto fuggire, ma la vergogna di abbandonare i nobilissimi cavalieri del popolo acheo poco prima da lui"
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'accogliimento fa grandi cose, cioè mantenere pace e amore per Dio e il prossimo, creare città, castelli e magioni.",3.0,"E l'atteggiamento adatto a compiere grandi cose, cioè a mantenere la pace e ad amare Dio e il prossimo, a costruire città, castelli e dimore"
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,colui che ancora non sa amare il prossimo come se stesso inizia a temere i giudizi di Dio.,2.0,"Chi ancora non sa amare il prossimo come se stesso, inizi già a temere i giudizi di Dio."
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo aver piumate le ali, non fugge in salvo, nemmeno il selvaggio maiale uscirebbe bene dalle rete in cui cade.",2.0,"L'uccello, dopo aver impaniato le ali, non fugge in salvo, né il cinghiale esce facilmente dalle reti in cui cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli aprisi, e quelli fuggirono. E che bisogno è, che il tuo cuore resti chiuso al tuo marito Cristo?",3.0,"Io gli aprii, e quello fuggì. E che bisogno c'è che il tuo cuore resti chiuso al tuo sposo Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","""Quindi, Catellina, e tu non puoi tranquillamente vivere qui, hai dubbi di andartene in qualunque terra e vivere questa vita nascondendoti negli abbandonati luoghi?""",3.0,"E dunque, dato che le cose stanno così, Catilina, e tu non puoi rimanere qui tranquillamente, esiti ad andartene in qualche terra e a vivere questa vita fuggendo attraverso i deserti?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volontariamente contro la volontà del senato, rimasero nell'ufficio del tribunato e furono uccisi dalla plebe, inflammandola i padri coscritti.",3.0,"Questi due, volendo rimanere nell'ufficio del tribunato contro la volontà del senato, furono uccisi dalla plebe, incitata dai padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","agli giovani, che si affidano la difesa delle province e la sorte di tutta la battaglia.",2.0,"I giovani, ai quali è affidata la difesa delle province e l'esito di tutta la battaglia"
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dal monti Romani si fecero nuovi nemici; contro di essi fu combattuta con varia fortuna: perché nella prima battaglia, essendo console Valerio, morirono MMMD romani.",4.0,"Dai monti dei Romani si presentarono nuovi nemici; contro di essi si è combattuto con esiti alterni: perché nella prima battaglia, essendo console Valerio, ne morirono 3500 di Romani"
