Author,Date,Region,Sentence,Mistral 7b-instruction
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, tra i dieci compagni, si riservò di parlarlo all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,le cose che io conoscevo essere fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, figlio di Ortensio, condusse una vita più bassa e più viziosa."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un amante chiamandola merzé alla sua donna dice parole e ragioni molte, e lei si difende con sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io ricordo che, essendo infuriato, scoprì la mia donna. Oh, quanti giorni questa rabbia mi tolse!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,l'uomo del cui amore tu ti ricordavi di aver sofferto per la tua donna;
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi di coloro della congiura, poiché la donna non nominava ancora i loro nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Creti? Sicuramente lo fece dire a te: 'O mia fedele donna, rimedi per me presso nostro ospite troiano'."""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ",A Milano fu repressa la malvagità di una donna in modo simile a questa signora della repubblica:
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Essi lamentavansi dell'ingiustizia di Appio, e ripianevano la misera bellezza della giovane e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certamente io ho sempre avuto coraggio di ragionare di pace e sempre mi dispiace che non solo la pace era offesa,"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","la seconda può talvolta far paura per il grande vantaggio, e la prima può rendere chiaro il follia di altri."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andai nel campo dei Cartaginesi e la legione intera lo seguì.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Quella lo volle ignota al profeta Natan, per cui ebbe il coraggio di riprovare con grande autorità quel re peccatore."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Con le armi e insieme passano tra i nemici, per cui, se qualcuno non avesse il coraggio di questo e avessero questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Per ragioni ragionevoli, Iobe è stato interpretato come dolente."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","""Quello che perdonava ai cittadini sopra a tutti gli altri, e a cui potete più sicuramente credere, era il vostro comandante."""
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Inutile chiedersi chi scrivesse questo Libro, in quanto fedelmente si deve credere che l'Autore fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse comunissimo, certamente apparirebbe molto più incredibile: sicuramente si può più facilmente credere quello, poiché l'umano spirito al divino, e il mutabile all'incommutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Quelli ricevevano il loro stipendio dal camerlengo per il loro turno e andavano subito alla presenza di monsignor il papa per contrarre i cavaliere che venivano da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","""O signor Acheloo, io ti prego di dirti come vi siete perditi."""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Io spero che Gesù mi permetta di inviare presto a voi Timoteo, affinché io sia tranquillo inside<traduzione>."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"senza errori, il selvaggio maiale avanza, l'uomo di ascoltare e il lupo cervo del vedere."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"In quel luogo si gettano lanci, e ciò è chiamato ""capo di maiale"" dai cavalieri."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"""Tenda le reti agli scorcianni e sa bene in quale valle abita il furioso maiale selvaggio."""
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Avrete paura di spaventare i cervi timidi con diverse paure, o il maiale inseguirà il passato collo nel terreno impalato."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta le cose incorporee, come Dio e le cose divine, che non si convertiscono tra i corpi."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per cui si dispensano e giudicano tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","""Gli poeti, parlando di loro, dichiarano le loro virtù e fabbricano allusivamente i loro difetti, quando una passava in ordine a loro deputato."""
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Quella cosa, la quale è diretta, onesta e virtuosa, è la unica cosa che penso essere buona."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando serpenti gli schioccavano le loro veleno delle giornate, meravigliosi erano i Romani di vedere come i Psille si combattevano al veleno, poiché essi sacrificavano tutto in pratica della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Oh, quanto è bella cosa vedere apertamente con gli occhi quando tu la fai direttamente in faccia o dietro o in alto."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Purtroppo, questo era tuo pesare, ma desideravi comunque cercare di vedere con gli occhi corporei cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","""La tua verità è: tu sei mio schiavo, o per questo è un giorno feriale, o per questo io non devo rispondere."""
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, concordo che dovesse avere grande libertà per permettergli di andare via."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","un notevole esempio per ogni uno che si curasse di fare e di pensare, il servo, il quale a noi era stato accusato, fu perdonato, e fu donata a lui una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Che mi sarebbe stato disgrazioso se fossi stato io a commettere quello che il servo fece e la pena di Platone avesse meritato lo stesso.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostro massimamente le sue forze, diventando re in questa città natia, dove era schiavo; il quale tenne l'impero per molto tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,l'anima modifica la sua forza in virtù della proprietà di quel corpo con cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non nell'umano carne, ma nell' spirito, cioè Dio, e l'anima. In altre parole, San Paolo dice: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Per quanto Lucano lo disse, noi vi raccontiamo. Lì, quando l'anima di Pompeo sentì la chiarezza di Lasus, ella lo riconobbe prima in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","""Siccome dolore è sentire, quando l'uso delle armi e il sforzo ti rifiutano, con gran vergogna, come pecore siamo."""
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,"Egli, Cristo, non ebbe fastidio di udire quei paroli."
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La folla di coloro che hai potuto vedere e guardare lo studio e di quelli che stavano poco lontano e udire le voci e le mani e le armi di pochi che posso ancora ricordare."""
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","ascoltare belle storie e olfattare belli fiori, come e quando e quanto conveniva."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro all'albergo suo, quasi come se andasse a riflettere."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","""Ma io desideroso volo là dove io non posso andare con il corpo, con la mente vi vado."""
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Tutto quel tumulto di uccelli si alzò in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccelli e di tutte le cose giudica veramente.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Per il suo orgoglio, questo uccello volava in alto a quel punto."
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","""Gorgona, io desidero possedere questa qualità come un uccello nel cielo."""
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando si giurano nella matricola per Dio, per Cristo, e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per necessità riduco io, secondo il tuo comandamento, san padre Agostino, le battaglie già combattute nel mondo."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","""Avrebbero avuto memoria molto superiore per il re, quindi il suo nome reale sempre fu sacro e glorioso nella nostra città, e se fossero stati compagni, il loro nome santo sarebbe stato lo stesso."""
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio apparire superbo per proposito santo, e voto la verginità guardando le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino scrisse un libro chiamato ""La Città di Dio"" di Agostino."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non l'ho mai sentito avere un maestro; ma il dono del Santo Spirito non si può limitare alla legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,I mercanti fiorentini navigavano in nave per andare oltre mare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i segni visti non cessare di diminuire, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","""e, in modo ancora più grave, o essere catturati, o invece fuggire, e lasciare il proprio Comune sconfitto."""
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Se noi non fossimo in fretta a fuggire, noi saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco cretese, che poteva fuggire in aiuto dei nemici, tuttavia abbandonare i nobilissimi cavalleri achei che stavano vicini a lui facesse vergogna."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'accogliimento fa grandi cose, cioè mantenere pace e amore per Dio e il prossimo, creare città, castelli e magioni."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,colui che ancora non sa amare il prossimo come se stesso inizia a temere i giudizi di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo aver piumate le ali, non fugge in salvo, nemmeno il selvaggio maiale uscirebbe bene dalle rete in cui cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli aprisi, e quelli fuggirono. E che bisogno è, che il tuo cuore resti chiuso al tuo marito Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","""Quindi, Catellina, e tu non puoi tranquillamente vivere qui, hai dubbi di andartene in qualunque terra e vivere questa vita nascondendoti negli abbandonati luoghi?"""
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volontariamente contro la volontà del senato, rimasero nell'ufficio del tribunato e furono uccisi dalla plebe, inflammandola i padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","agli giovani, che si affidano la difesa delle province e la sorte di tutta la battaglia."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dal monti Romani si fecero nuovi nemici; contro di essi fu combattuta con varia fortuna: perché nella prima battaglia, essendo console Valerio, morirono MMMD romani."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","noi siam partiti per dovere verso la città, e tutti noi siam stati spinti da fama e da una buona avventura."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,pregatevi per me agli dèi; le vostre preghiere valgono: e chi avrebbe vinto questa battaglia si chiedeva; ma io non sono stato sconfitto da lui.
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","In una villa chiamata Vitermina, se i principi di scherani avessero probabilmente corso a quel tempo per vedere ciò che accadeva, Scipione alloggiò nella casa per prevenire forse loro forze."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contro di lui e contro le sue sorelle, contro il regno e contro l'alto prezio della sua nobiltà e della sua famiglia."
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave si imbarcò e salpò in mare aperto per attraversare questo pericoloso passaggio, l'aria divenne nebulosa e piovosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Non salì su l'argine del fosso e su lo steccato, se da alto si potesse difendere, o in qualche modo passare oltre e salvare."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","""Il occhio dell'intelligenza è più alto. Perciò, oltrepassata la grandezza dell'università, quella stessa forma semplice vede nella sottile vista."""
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","Se l'occhio è un nobile membro del corpo dell'uomo, allora la salutazione è una nobile parte della pistola, in quanto illumina tutta la lettera come occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Ionici, essendo nati da quelli di Sparta e formati da essa nobile città greca dei Lacedemoni."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Un uomo ricco e nobile si chiamava Orgentore.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","""Purtroppo, se qualcosa nobile e alto è il nostro avversario, non meno commendabile è sapere mostrare clemenza."""
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandri, suo genero e figliolo di Phausonia, gentile giovane di Macedonia, rimasto in un luogo chiuso senza guardia, è morto."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuni sono ricchi e gentili, ma lamentano siché desiderano avere una altra moglie chequella loro hanno."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, mostrato il popolo Gentile in figura, gli fu detto: uccidi, e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","il gentiluomo lo fece uscire dal suo impegno, in quel in cui lo aveva tenuto impegnato. Egli accordò, lo fece uscire e ne fece una scrittura."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriverà dall'Aquilone. Chi si intendiamo noi con Aquilone, se non il popolo Gentile congelato dal freddo del peccato, quel popolo tenne sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Siete tra me e te: con noi non puoi più a lungo rimanere, poichè non lo sopporto e non ti lascerò."
