Author,Date,Region,Sentence,Deepseek R1 qwen-8b,p_deepseek_vote,golden_label
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti? Certamente, quando ella si mosse, disse: ""O fedele mia donna, fa' che in mio luogo ti sia raccomandato il nostro nemico troiano"".",1.0,"Credi? Certo, quando egli si mosse, egli ti disse: ""O fedele mia donna, fa' che al posto mio si sieda il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano, nel tempo medesimo di questo signore della republica, ripresa la malvagità di una donna in una simile bugia, in tal modo.",1.0,"A Milano fu repressa la malvagità di una donna in una simile circostanza ingannevole, nello stesso periodo di questo governante della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E si lamentavano dell'inequità di Appio, e si compiangevano della sfortunata bellezza della ragazza e della necessità del padre.",3.0,"E si lamentavano della malvagità di Appio, e piangevano di nuovo la sfortunata bellezza della fanciulla e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certamente io avevo sempre il coraggio di discutere di pace e mi sembrava che non soltanto la pace fosse disprezzata.",2.0,"In quella battaglia, certamente io ebbi sempre il coraggio di parlare di pace e sempre mi addolorai del fatto che non solo la pace era schifata,"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","L'abitudine seconda spesso può essere spaventosa a causa della sua grande provvidenza, e l'abitudine prima può essere audace al punto di far impazzire.",2.0,"La seconda è solita talvolta, per la grande saggezza, incutere timore, e la prima, per l'audacia, rendere gli altri folli."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo degli Cartaginesi e tutta la legione lo seguì in silenzio.,2.0,Andò nel campo dei Cartaginesi e portò con sé tutta la legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo volle riconoscere come nemico. Questa è quella che diede coraggio al profeta Nathan per riprendere con grande autorità quel re, che aveva peccato.",3.0,Non volle trattarlo come nemico. Questa è colui che diede coraggio al profeta Natan per rimproverare con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passarono tra i nemici, quindi se nessuno non avesse avuto il coraggio di questo, e quindi avevano quell'atteggiamento.",2.0,"Le armi passarono insieme a loro tra i nemici, anche se qualcuno non avesse il coraggio, complessivamente essi avevano lo spirito giusto per farlo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Perché ragionevolmente si interpreta Iob come afflitto;,2.0,"Perciò, ragionevolmente, Giobbe è interpretato come sofferente."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Chi, tra tutti, perdonasse di più ai cittadini, e a cui foste più sicuri di credere, poi che egli era vostro comandante.",2.0,"Colui che più di tutti gli altri perdonava i cittadini, è colui a cui più sicuramente potete credere, poiché egli fu il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Chi ha scritto questo libro deve essere creduto fedelmente lo Spirito Santo, e chiedersi chi l'abbia scritto è inutile.",1.0,"Invano ci si domanda chi abbia scritto questo Libro, dal momento che si deve credere fedelmente che l'Autore fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","se non fosse così usata, ciò apparirebbe certamente molto più incredibile; anzi, più agevolmente si potrebbe credere in quello, supposto che l'animo umano sia divino e il mutabile sia immutabile.",5.0,"Se non fosse molto comune, sembrerebbe molto più incredibile che si possa credere facilmente a ciò, dato che lo spirito umano si rapporta al divino, e il mutabile all'immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"Che prendessero il compenso dal camerlingo per il loro mantenimento e per le provviste, e poi andassero alla presenza del Papa per contraddire il movimento dei cavalieri che si avvicinino da Cecilia in Toscana.",3.0,Che prendessero la paga dal camerlengo per il loro mantenimento e immediatamente andassero alla presenza del signor papa per impedire il passaggio dei cavalieri che venivano dalla Sicilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con grande meraviglia e disse: ""O Signore Achelao, ti prego, dimmi in che modo hai perso"".",1.0,"Teseo osservò Achelao meravigliandosi molto e disse: ""O signor Achelao, io vi prego che voi mi diciate in che modo voi perdeste""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che il Signore Gesù spedisca Timothy presto, affinché io sia di buon umore.",2.0,"Io spero nel signore Gesù di mandarvi presto Timoteo, affinchè io sia di buon animo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Il maiale selvatico procede senza fallo, l'uomo dell'udito e il cinghiale del vedere.",2.0,Senza dubbio il cinghiale è superiore all' uomo nell'udito e la lince nella vista.
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Un luogo si allevano capre; la quale cosa i cavalieri la chiamano capro.,1.0,"In un luogo si combatte con la lancia, i cavalieri lo chiamano 'testa di porco'."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Tendi le lenze ai cervi e conosce bene in quali valli abiti il cinghiale furioso.,3.0,Tende le trappole ai cervi e sa bene in quale valle dimora il cinghiale furioso.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i cervi speranzosi con varie paure, o il maiale ti mangia il coltello caduto a terra.",2.0,"Ora spaventerai i desiderati cervi con varie e diverse paure, o il cinghiale cada a terra trafitto dallo spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta la natura delle cose incorporee, le quali non conversano tra i corpi, sì come Dio e le divine cose.",2.0,"Tratta la natura delle cose incorporee, le quali non interagiscono tra i corpi, così come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per il quale si dispensano e si giudicano tutte le cose.",1.0,"Dio, per mezzo della quale si amministrano e si giudicano tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Quindi i poeti, parlando di loro, dicono le loro virtù e li dicono i difetti in modo esagerato, quando nessuno era loro deputato.",2.0,"Perciò i poeti, parlando tra loro, parlano delle loro virtù ma parlano in modo figurato dei loro difetti, quando qualcosa superava il loro limite massimo."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","e quella cosa, la quale è diritta e onesta, e con virtù, solo penso essere il bene.",2.0,"E quella cosa che è giusta e onesta, e fatta con virtù, solo quella penso sia il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti attaccavano di giorno alcuni Romani, allora era la maraviglia vedere come i Psille si combattevano al veleno, perché essi immolavano tutta la loro saliva in avanti.",3.0,"Quando i serpenti avvelenavano di giorno qualche Romano, era una cosa meravigliosa vedere come i Psilli contrastavano il veleno, perché essi lo neutralizzavano per mezzo della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi la cui chiarezza apporti, o in retroguardia, o d'altre parti.",1.0,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glielo fai dietro o nell'ano o in altro posto."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma pure questo era colpa tua, eppure hai voluto cercare di vedere con gli occhi del corpo la cosa invisibile.",2.0,"Ma comunque fu colpa tua, poiché volesti cercare di vedere con gli occhi fisici una cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo tempo, perciò che tu sei mio servo, o perché è tempo feriado, o perché io non devo risponderti.",2.0,"È vero, ma non ti rispondo in questo momento, o poiché tu sei un mio servo, o perché è tempo di riposo, o perché io non posso risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,Si conviene che a loro si desse grande fortuna perché potessero andarsene via.,2.0,fu necessario dargli grandi ricchezze affinché se ne andasse.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio notevole ammonì ciascuno a non tradire la fiducia, e il servo, il quale l'aveva tradita, fu punito e gli furono donate grandi somme di denaro.",3.0,"Un esempio significativo per chiunque si guardasse dal fare e dal pensare al tradimento: il servo, il quale li aveva accusati, fu graziato, e gli fu donata una grande quantità di moneta."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Se l'avessero commesso sì che la colpa del servo e il suo gastigamento avessero meritato allo stesso modo il castigo di Platone.,3.0,Che sarebbe per lui una cosa vergognosa se avesse ammesso di dare la colpa al servo e se Platone avesse meritato il castigo ugualmente.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Dio mostrò massimamente le sue forze, assegnando il regno di questa città a un servo; e a quel re avvenne lunghissimamente reggere l'impero.",2.0,"Mostrò la sua ampia forza morale, dandogli il potere di comandare su questa città nella quale nacque servo. Alla quale accadde di mantenere il potere per lunghissimo tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima cambia la sua forza per la proprietà di quel corpo a cui si congiunge.,2.0,L'anima muta la sua forza a causa della proprietà di quel corpo a cui essa si congiunge.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due cose già non in un corpo, ma in uno spirito, cioè in Dio e nell'anima. E infatti, S. Paolo in un altro luogo afferma: Chi si avvicina a Dio è uno spirito.",2.0,"Non sono più due entità separate, una nella carne e una nello spirito, ma sono unite in un unico spirito, che è Dio e l'anima. Per questo, in un altro passo, San Paolo afferma: 'Chi si unisce a Dio diventa un solo spirito'"
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Dato ciò, Lucano disse a voi. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza del lusso, essa conobbe prima in modo molto grande.",2.0,"Per quanto Lucano lo abbia narrato, noi ve lo raccontiamo. Lì, quando l'anima di Pompeo percepì la luce dall'alto, essa si riconobbe subito in modo chiaro"
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Quando il dolore si percepisce all'udito, quando l'uso dell'arma e la fatica sono rifiutati, si prova grande imbarazzo, agendo come delle pecore.",2.0,"Perciò è doloroso sentire che, quando essi si rifiutano di usare le armi e di affrontare la fatica, subiscono un grandissimo disonore, essendo trattati come pecore"
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E non che Cristo ne avesse fastidio per tali parole.,2.0,E Cristo non ebbe a dispiacere sentire tali parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine di cui hai potuto vedere lo studio e poco prima udire le voci, e le cui mani e lance appena posso afferrare.",2.0,"Tu hai potuto vedere e osservare l'impegno di moltissimi di loro, e poco fa hai udito le loro voci; e a malapena riesco a trattenere le loro mani e le loro lance"
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Udire di belle notizie e odorare di bei fiori, come, quando e quanto si conviene.",2.0,"Ascoltare belle storie e sentire il profumo di bei fiori, nel modo, nel momento e nella quantità opportuni"
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo albergo, quasi come se stava pensando alla risposta.",4.0,"Il re entrò in un giardino dietro al suo alloggio, quasi come se stesse riflettendo sulla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desidero dove io non posso col corpo andare, solo con la mente vorrei.",2.0,"Ma io, desideroso di andare là dove non posso con il corpo, vi volo con la mente"
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ecco che di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila.,1.0,Ed ecco che improvvisamente tutta questa moltitudine di uccelli si levò in volo dietro all'aquila
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccelli e di tutte le cose sa dare un giudizio corretto.,2.0,Vede anche le ragioni del volo degli uccelli e sa dare un giudizio veritiero su ogni cosa.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco, per il suo superbo orgoglio, questo uccello volava in alto.",3.0,Ora ecco quanto in alto volava questo uccello a causa della sua superbia.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che io volo nell'aria sì come un uccellino.",2.0,"Gorgone, e ho questa peculiarità che io volo nell'aria proprio come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nel diploma si scrive un giuramento, si giura in nome di Dio, di Cristo e dello Spirito Santo.",2.0,"Quando si iscrivono nell'albo, giurano su Dio, su Cristo e sullo Spirito Santo"
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per necessità io dico che, secondo il tuo comandamento, Signore Santo Agostino, le battaglie già combattute nel mondo",2.0,"Per necessità io affermo nuovamente che, secondo il tuo comando, padre santo Agostino, le battaglie che ci sono state nel mondo [..]"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Il nome reale sarà sempre santo e glorioso nella nostra città, e il nome dei suoi compagni sarà santissimo.",1.0,"Saranno molto più memorabili facendole al re, poiché nella nostra città il nome regale è sempre stato santo e glorioso, e se furono compagni il loro nome fu santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che tu sia superbo per il tuo santo proposito, e che io faccio un voto di verginità vedendo le sue lodi.",2.0,"Non voglio che tu ti insuperbisca per il tuo santo proposito e per il voto di verginità, vedendone le lodi"
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino fece un libro ch'avea nome ""Agostino Della Città di Dio"".",2.0,Sant'Agostino scrisse un libro che aveva il titolo 'Agostino: La Città di Dio'.
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Mai udii che avesse maestro; ma il dono dello Spirito Santo non può esser legato a leggi.,2.0,Gregorio. Non ho mai sentito dire che egli avesse un maestro; ma il dono dello Spirito Santo non può essere vincolato da regole.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,"E cioè, i mercatanti fiorentini viaggiavano in nave per andare oltramare.",2.0,Ad esempio: Mercanti fiorentini viaggiavano in nave per andare oltreoceano.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai un cavaliere con quei segni, non abbandonarti alla sua grandezza cadendo, perché i forti sono più utili dei grandi.",2.0,"Quando avrai visto nel cavaliere i segni detti, non cercare la grandezza, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.",e il suo comune lasciare che vinca.,1.0,"E, cosa che è anche più grave, cioè essere catturato, oppure fuggire e lasciare che il proprio Comune sia sconfitto."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sapete che se non avessimo fuggito in fretta, saremmo morti tutti.",2.0,"Sappiate veramente che, se non ci fossimo affrettati a fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco, sebbene potesse fuggire in aiuto dei suoi nemici, non potè abbandonare gli Achei, i cavalieri nobilissimi che si trovavano poco avanti a lui.",3.0,"Tarco, il cretese che era venuto in aiuto dei nemici, avrebbe potuto fuggire, ma la vergogna di abbandonare i nobilissimi cavalieri del popolo acheo poco prima da lui"
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'accorgersi di fare grandi cose, cioè mantenere la pace e amare Dio e il prossimo, costruire città, castelli e palazzi",2.0,"E l'atteggiamento adatto a compiere grandi cose, cioè a mantenere la pace e ad amare Dio e il prossimo, a costruire città, castelli e dimore"
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Chi ancora non sa amare il prossimo come sé stesso già comincia a temere i giudizi di Dio.,2.0,"Chi ancora non sa amare il prossimo come se stesso, inizi già a temere i giudizi di Dio."
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo che ha impennato le ali, non fugge liberamente, né il cervo selvatico esce facilmente dalle reti dove cade.",2.0,"L'uccello, dopo aver impaniato le ali, non fugge in salvo, né il cinghiale esce facilmente dalle reti in cui cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","""Io lo aprii, e quelli fuggirono. E che bisogno c'è, che il tuo cuore sia chiuso al tuo sposo Cristo?""",2.0,"Io gli aprii, e quello fuggì. E che bisogno c'è che il tuo cuore resti chiuso al tuo sposo Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Ecco, poiché queste cose sono così, Catellina, e tu non puoi dimorare qui con comodità, dubiti tu di andare in nessuna terra e usare questa vita fuggendo nei deserti?",2.0,"E dunque, dato che le cose stanno così, Catilina, e tu non puoi rimanere qui tranquillamente, esiti ad andartene in qualche terra e a vivere questa vita fuggendo attraverso i deserti?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volevano rimanere nella carica di tribuno nonostante la volontà del senato, furono assassinati dalla plebe, che fu incitata dai consoli.",2.0,"Questi due, volendo rimanere nell'ufficio del tribunato contro la volontà del senato, furono uccisi dalla plebe, incitata dai padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, che sono stati affidati il difeso delle province e la sorte di tutta la battaglia.",2.0,"I giovani, ai quali è affidata la difesa delle province e l'esito di tutta la battaglia"
